NAME:,run_2_2.csv,,
EXPERIMENT TIME:,24/05/2022 10:34,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,144,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.555,2.24,3.14,6.79
2.047,5.77,2.59,9.1
3.504,-0.59,-1.1,1.49
5.001,11.77,9.69,-19.42
6.505,-1.41,2,0.12
7.996,-5.69,0.31,-0.31
9.541,6.32,2.67,13.57
11.001,-3.37,4.59,0.27
12.521,-3.45,0.98,3.57
14.011,-12.28,-0.75,20.01
15.556,6.59,3.84,19.26
17.078,6.12,-1.29,15.81
18.549,5.02,0.78,10.08
20.112,3.26,2,5.61
21.541,0.55,0.94,4.16
23.08,0.63,-0.31,9.26
24.58,3.92,5.14,17.77
26.069,3.65,2.75,4.08
27.534,-2,0.86,1.33
29.078,0.35,3.53,11.77
30.593,8.98,-4.75,20.01
32.038,-2.98,-0.27,10
33.535,-1.22,2.67,-0.27
35.04,-4.12,1.02,6.67
36.542,-4.47,0.31,13.77
38.094,0.35,-1.69,7.77
39.561,-2.16,-3.88,19.02
41.095,0,4.43,13.38
42.615,3.65,-1.14,16.12
44.092,4.2,1.69,20.01
45.583,4.55,0.51,15.1
47.1,0.35,2.31,5.88
48.568,-2.94,0.12,1.69
50.108,3.61,0.51,15.89
51.602,7.3,-1.02,17.93
53.105,9.85,-4.24,15.73
54.613,2.2,1.53,18.63
56.111,1.06,3.84,6.83
57.596,3.14,0.9,-2.82
59.115,0.2,1.1,1.06
60.59,2.51,2.12,0.94
62.104,2.67,0.24,7.61
75.467,6.86,2.04,7.77
75.474,-6.67,5.92,4.35
75.478,-6.47,4.59,5.57
75.482,0.16,-0.08,11.85
75.485,0.43,0.24,9.22
75.489,0.63,0.47,9.18
75.493,0.63,0.47,9.18
75.497,0.59,0.47,9.3
75.699,0.59,0.47,9.14
77.079,-0.67,0.43,9.18
