NAME:,walk_1_1.csv,,
EXPERIMENT TIME:,24-05-2022_2346,,
ACTIVITY TYPE:,Walk,,
COUNT OF ACTUAL STEPS:,62,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-3.84,-9.06,-2
0.188534,-1.88,-10.04,-1.18
0.377569,-0.43,-8.83,0.71
0.567105,-0.71,-9.89,-2.24
0.757142,-0.08,-9.69,-1.73
0.94768,-0.82,-9.61,-1.02
1.138719,-2.98,-7.3,-2.9
1.330259,0.04,-9.92,-2.94
1.5223,-0.67,-8.43,-0.82
1.714842,-3.26,-9.53,-2.59
1.907885,-0.63,-9.77,-1.65
2.101429,-2.04,-9.73,-1.37
2.295474,-1.84,-9.02,0.16
2.49002,-0.82,-9.61,-1.92
2.685067,0.82,-11.06,-2.63
2.880615,-0.82,-8.32,-0.16
3.076664,-2.04,-9.26,-1.96
3.273214,-3.02,-9.92,-2.71
3.470265,-0.82,-8.67,-0.27
3.667817,-2.12,-9.1,-2.12
3.86587,-3.45,-9.65,-2.51
4.064424,-0.71,-9.49,0.27
4.263479,-1.41,-9.3,-1.8
4.463035,-1.37,-9.77,-2.39
4.663092,0,-9.89,-0.16
4.86365,-1.53,-9.22,-1.65
5.064709,-1.65,-9.65,-1.77
5.266269,-1.37,-9.38,0.2
5.46833,-1.02,-9.26,-1.8
5.670892,-1.02,-10.32,-2.28
5.873955,-1.45,-8.55,-0.63
6.077519,-1.84,-9.57,-2.2
6.281584,-1.37,-9.45,-0.55
6.48615,-1.06,-9.26,0.04
6.691217,-1.88,-9.3,-2
6.896785,-0.39,-9.22,-0.12
7.102854,-1.06,-8.36,-0.55
7.309424,-2.43,-10.12,-2.47
7.516495,-1.69,-9.38,-1.26
7.724067,-1.14,-8.83,-0.82
7.93214,-2.86,-8.59,-2.67
8.140714,-1.29,-9.65,-1.65
8.349789,-1.29,-8.55,-0.39
8.559365,-2.94,-9.89,-2.04
8.769442,-1.45,-10.47,-1.45
8.98002,-1.1,-7.92,-0.16
9.191099,-2.12,-9.61,-2.24
9.402679,0.12,-9.57,-1.26
9.61476,-0.04,-9.18,0.43
9.827342,-2.35,-9.57,-2.75
10.040425,-0.63,-9.53,-0.98
10.254009,-0.75,-8.39,-0.63
10.468094,-2.86,-9.45,-2.28
10.68268,-0.35,-9.77,-2
10.897767,-1.26,-9.26,-0.82
11.113355,-3.1,-9.34,-2.51
11.329444,-0.63,-9.81,-1.92
11.546034,-1.73,-10.04,-0.39
11.763125,-3.3,-10.9,-0.71
11.980717,-0.55,-9.81,-1.53
12.19881,-1.02,-9.49,-2.59
12.417404,-0.39,-9.02,0.12
12.636499,-1.65,-9.3,-2.16
12.856095,-3.26,-7.1,-2.39
13.076192,-1.57,-10.04,-0.55
13.29679,-2.08,-9.3,-1.53
13.517889,-0.08,-11.96,-3.61
13.739489,-0.47,-9.34,-1.88
13.96159,0.39,-9.41,-3.45
14.184192,-0.31,-9.3,-3.88
14.407295,-1.92,-8.75,-2.51
14.630899,-3.88,-13.77,-2.2
14.855004,-0.98,-9.53,-2.63
15.07961,-2.47,-11.22,-2.2
15.304717,0.08,-12.98,-1.37
15.530325,-0.9,-9.73,-1.49
15.756434,-2.16,-9.96,-2.59
15.983044,0.2,-10.98,0.82
16.210155,-0.82,-9.65,-1.49
16.437767,-2.39,-10.79,-1.92
16.66588,-0.08,-10.4,-0.35
16.894494,-1.29,-9.96,-2.43
17.123609,-2.47,-8.67,-2.79
17.353225,-1.37,-9.81,0.24
17.583342,-1.18,-9.26,-2.51
17.81396,-0.98,-11.38,-3.41
18.045079,-1.26,-7.81,-1.22
18.276699,-2.12,-9.45,-1.92
18.50882,-1.8,-12.59,-3.88
18.741442,-0.86,-8.75,-0.43
18.974565,-2.55,-9.41,-2
19.208189,-1.29,-10.12,-0.86
19.442314,-0.47,-8.98,-0.39
19.67694,-2.71,-9.53,-2.63
19.912067,-1.33,-9.61,-1.37
20.147695,-1.1,-9.26,-0.86
20.383824,-2.59,-8.32,-2.28
20.620454,-1.02,-9.41,-1.57
20.857585,-1.14,-9.81,-0.59
21.095217,-3.92,-12.83,-1.37
21.33335,-2.28,-9.92,-2.35
21.571984,-5.69,-8.36,-2.2
21.811119,-5.02,-8.87,-2.47
